Año;Periodo;Carne de vacuno;Carne de porcino;Carne de ovino y caprino;Carne de ave;Otras carnes;Despojos y menudillos;Charcutería;Carne procesada;Total
2006;Año;21,9;22,2;5,6;31,8;3,1;2,9;40,6;11,6;139,7
2007;Año;20,6;22,3;5,5;35,9;3,1;3,3;42,6;12,8;146,1
2008;Año;20,5;26,4;5,8;35,3;3;3,5;42,6;13,5;150,6
2009;Año;18,1;23;4,7;35,2;3,1;3,2;42,2;13,5;143
2010;Año;17,2;21,4;4,3;35;2,7;3,5;40,4;13,5;138
2011;Año;15,5;20,6;3,8;34,4;2,7;3,2;40,4;14,2;134,8
2012;Año;15;21;3,5;36,4;2,7;3,3;40,2;15,4;137,5
2013;Año;15,2;19,8;3,4;35,7;3;3,3;39,1;13,9;133,4
2014;Año;14,8;19,9;3,1;34,8;2,5;3,2;38,7;14,5;131,5
2015;Año;13,4;20,6;2,9;34,2;2,4;3,3;37,9;15,1;129,8
2016;Año;12,8;20,1;2,8;34,9;2,5;3;36,5;9,2;121,8
2017;Año;12,5;19,9;2,7;33,3;2,6;3;36,6;8,9;119,5
2018;Año;12,6;19,9;2,7;33,6;2,2;2,8;35,5;9,5;118,8
2019;Año;12,5;19,9;2,7;33,3;2,3;2,9;35,2;9;117,8
2020;Año;12,6;19,7;2,6;34;2,5;2,8;34,9;9,3;118,4
