Territori,Tipus de territori,Any,Naixements,Latitut,Longitut
Ciutat Vella,Districte,1997,729,41.3809,2.1734
Ciutat Vella,Districte,1998,666,41.3809,2.1734
Ciutat Vella,Districte,1999,706,41.3809,2.1734
Ciutat Vella,Districte,2000,718,41.3809,2.1734
Ciutat Vella,Districte,2001,812,41.3809,2.1734
Ciutat Vella,Districte,2002,853,41.3809,2.1734
Ciutat Vella,Districte,2003,896,41.3809,2.1734
Ciutat Vella,Districte,2004,907,41.3809,2.1734
Ciutat Vella,Districte,2005,992,41.3809,2.1734
Ciutat Vella,Districte,2006,889,41.3809,2.1734
Ciutat Vella,Districte,2007,852,41.3809,2.1734
Ciutat Vella,Districte,2008,986,41.3809,2.1734
Ciutat Vella,Districte,2009,955,41.3809,2.1734
Ciutat Vella,Districte,2010,943,41.3809,2.1734
Ciutat Vella,Districte,2011,922,41.3809,2.1734
Ciutat Vella,Districte,2012,849,41.3809,2.1734
Ciutat Vella,Districte,2013,792,41.3809,2.1734
Ciutat Vella,Districte,2014,780,41.3809,2.1734
Ciutat Vella,Districte,2015,797,41.3809,2.1734
Ciutat Vella,Districte,2016,810,41.3809,2.1734
Ciutat Vella,Districte,2017,894,41.3809,2.1734
Ciutat Vella,Districte,2018,793,41.3809,2.1734
Ciutat Vella,Districte,2019,772,41.3809,2.1734
Ciutat Vella,Districte,2020,819,41.3809,2.1734
Ciutat Vella,Districte,2021,718,41.3809,2.1734
Ciutat Vella,Districte,2022,746,41.3809,2.1734
Ciutat Vella,Districte,2023,714,41.3809,2.1734
Eixample,Districte,1997,1955,41.389,2.1615
Eixample,Districte,1998,1907,41.389,2.1615
Eixample,Districte,1999,1977,41.389,2.1615
Eixample,Districte,2000,2053,41.389,2.1615
Eixample,Districte,2001,2000,41.389,2.1615
Eixample,Districte,2002,2072,41.389,2.1615
Eixample,Districte,2003,2198,41.389,2.1615
Eixample,Districte,2004,2168,41.389,2.1615
Eixample,Districte,2005,2216,41.389,2.1615
Eixample,Districte,2006,2170,41.389,2.1615
Eixample,Districte,2007,2079,41.389,2.1615
Eixample,Districte,2008,2085,41.389,2.1615
Eixample,Districte,2009,2123,41.389,2.1615
Eixample,Districte,2010,2085,41.389,2.1615
Eixample,Districte,2011,2066,41.389,2.1615
Eixample,Districte,2012,2100,41.389,2.1615
Eixample,Districte,2013,1968,41.389,2.1615
Eixample,Districte,2014,2114,41.389,2.1615
Eixample,Districte,2015,2144,41.389,2.1615
Eixample,Districte,2016,2061,41.389,2.1615
Eixample,Districte,2017,2068,41.389,2.1615
Eixample,Districte,2018,2073,41.389,2.1615
Eixample,Districte,2019,1903,41.389,2.1615
Eixample,Districte,2020,1723,41.389,2.1615
Eixample,Districte,2021,1765,41.389,2.1615
Eixample,Districte,2022,1753,41.389,2.1615
Eixample,Districte,2023,1641,41.389,2.1615
Gràcia,Districte,1997,889,41.4064,2.1573
Gràcia,Districte,1998,875,41.4064,2.1573
Gràcia,Districte,1999,902,41.4064,2.1573
Gràcia,Districte,2000,911,41.4064,2.1573
Gràcia,Districte,2001,935,41.4064,2.1573
Gràcia,Districte,2002,1000,41.4064,2.1573
Gràcia,Districte,2003,1037,41.4064,2.1573
Gràcia,Districte,2004,1061,41.4064,2.1573
Gràcia,Districte,2005,1057,41.4064,2.1573
Gràcia,Districte,2006,1072,41.4064,2.1573
Gràcia,Districte,2007,1056,41.4064,2.1573
Gràcia,Districte,2008,1160,41.4064,2.1573
Gràcia,Districte,2009,1027,41.4064,2.1573
Gràcia,Districte,2010,1068,41.4064,2.1573
Gràcia,Districte,2011,1117,41.4064,2.1573
Gràcia,Districte,2012,1072,41.4064,2.1573
Gràcia,Districte,2013,1006,41.4064,2.1573
Gràcia,Districte,2014,1036,41.4064,2.1573
Gràcia,Districte,2015,1047,41.4064,2.1573
Gràcia,Districte,2016,1121,41.4064,2.1573
Gràcia,Districte,2017,1060,41.4064,2.1573
Gràcia,Districte,2018,1062,41.4064,2.1573
Gràcia,Districte,2019,966,41.4064,2.1573
Gràcia,Districte,2020,999,41.4064,2.1573
Gràcia,Districte,2021,924,41.4064,2.1573
Gràcia,Districte,2022,848,41.4064,2.1573
Gràcia,Districte,2023,778,41.4064,2.1573
Horta-Guinardó,Districte,1997,1314,41.4282,2.157
Horta-Guinardó,Districte,1998,1209,41.4282,2.157
Horta-Guinardó,Districte,1999,1335,41.4282,2.157
Horta-Guinardó,Districte,2000,1289,41.4282,2.157
Horta-Guinardó,Districte,2001,1340,41.4282,2.157
Horta-Guinardó,Districte,2002,1404,41.4282,2.157
Horta-Guinardó,Districte,2003,1414,41.4282,2.157
Horta-Guinardó,Districte,2004,1478,41.4282,2.157
Horta-Guinardó,Districte,2005,1530,41.4282,2.157
Horta-Guinardó,Districte,2006,1359,41.4282,2.157
Horta-Guinardó,Districte,2007,1493,41.4282,2.157
Horta-Guinardó,Districte,2008,1547,41.4282,2.157
Horta-Guinardó,Districte,2009,1464,41.4282,2.157
Horta-Guinardó,Districte,2010,1448,41.4282,2.157
Horta-Guinardó,Districte,2011,1312,41.4282,2.157
Horta-Guinardó,Districte,2012,1360,41.4282,2.157
Horta-Guinardó,Districte,2013,1346,41.4282,2.157
Horta-Guinardó,Districte,2014,1282,41.4282,2.157
Horta-Guinardó,Districte,2015,1306,41.4282,2.157
Horta-Guinardó,Districte,2016,1407,41.4282,2.157
Horta-Guinardó,Districte,2017,1329,41.4282,2.157
Horta-Guinardó,Districte,2018,1350,41.4282,2.157
Horta-Guinardó,Districte,2019,1237,41.4282,2.157
Horta-Guinardó,Districte,2020,1170,41.4282,2.157
Horta-Guinardó,Districte,2021,1254,41.4282,2.157
Horta-Guinardó,Districte,2022,1203,41.4282,2.157
Horta-Guinardó,Districte,2023,1178,41.4282,2.157
Les Corts,Districte,1997,629,41.3856,2.1239
Les Corts,Districte,1998,606,41.3856,2.1239
Les Corts,Districte,1999,587,41.3856,2.1239
Les Corts,Districte,2000,627,41.3856,2.1239
Les Corts,Districte,2001,550,41.3856,2.1239
Les Corts,Districte,2002,600,41.3856,2.1239
Les Corts,Districte,2003,614,41.3856,2.1239
Les Corts,Districte,2004,589,41.3856,2.1239
Les Corts,Districte,2005,550,41.3856,2.1239
Les Corts,Districte,2006,588,41.3856,2.1239
