Territorio,Tipo de territorio,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Barcelona,Municipi,1493663,1507026,1503840,1497436,1507121,1555426,1581813,1588617,1599337,1610057,1594433,1615178,1631853,1619613,1614589,1619830,1612835,1602450,1604700,1610427,1625137,1628936,1650358,1666530,1660314,1639981,1660435,1702814
Ciutat Vella,Districte,82270,84306,84540,84524,89003,98536,106627,109886,113097,114358,111792,111791,110016,104664,103569,104357,103311,100700,100169,100373,102165,102047,105733,108248,109672,106028,106446,111155
el Raval,Barri,34099,35145,35356,35333,37584,41898,45627,46257,47329,47699,46061,47488,47963,47356,47725,48991,48771,47490,47150,47196,47901,47514,48210,48180,48688,46520,45671,46934
el Barri Gòtic,Barri,13565,14127,14480,14807,16301,19835,22680,25089,27129,27556,27663,25505,22793,18520,17678,16881,16276,15735,15514,15729,16240,17035,19180,21715,22850,22748,24460,27222
la Barceloneta,Barri,14764,14910,14937,14911,15110,15507,15983,15958,15796,15863,15646,16154,16231,16090,15749,15712,15493,15107,15037,15068,15101,14893,15173,15112,15125,14342,14274,14526
Sant Pere, Santa Caterina i la Ribera,Barri,19842,20124,19767,19473,20008,21296,22337,22582,22843,23240,22422,22644,23029,22698,22417,22773,22771,22368,22468,22380,22923,22605,23170,23241,23009,22418,22041,22473
Eixample,Districte,246061,247870,247740,246884,248625,258075,261908,262099,263691,266182,262198,265634,268429,265714,264296,265593,264967,263564,263557,264568,267270,266839,269173,270772,269349,266857,268824,274636
el Fort Pienc,Barri,28139,28272,28366,28353,28710,29749,30407,30537,30929,31505,31121,32159,33079,32648,32387,32286,31755,31489,31548,31693,32137,32170,32738,33473,33445,33445,34403,36119
la Sagrada Família,Barri,48481,48914,49021,48923,49563,51539,52013,52029,52146,52541,51801,52571,52969,52164,51976,52092,51821,51283,51094,51354,51658,51661,51917,52252,52164,51402,51712,52825
la Dreta de l Eixample,Barri,39117,39519,39514,39574,39823,41359,42271,42147,42439,42888,42277,42735,43410,43063,42856,43285,43399,43343,43558,43692,44224,43853,44189,44298,44088,44156,44105,44887
l Antiga Esquerra de l Eixample,Barri,39174,39585,39416,38964,39129,40760,41163,41185,41468,41752,41213,41581,41926,41697,41416,41722,41838,41728,41662,41895,42444,42534,43039,43143,43046,42365,42751,43808
la Nova Esquerra de l Eixample,Barri,55142,55283,55206,55100,55424,57422,58191,58244,58627,59221,57998,58345,58532,58013,57676,57876,57890,57625,57664,57699,58337,58265,58668,58648,57906,57314,57584,58299
Sant Antoni,Barri,36008,36297,36217,35970,35976,37246,37863,37957,38082,38275,37788,38243,38513,38129,37985,38332,38264,38096,38031,38235,38470,38356,38622,38958,38700,38175,38269,38698
Sants-Montjuïc,Districte,165616,167302,167019,166107,167407,172433,175896,177039,178248,180670,178400,181273,183517,182977,182733,183970,182741,180833,180813,181187,182381,182210,185481,187615,187026,183770,185963,191391
el Poble-sec,Barri,33779,34220,34275,33997,34517,36577,38204,38793,39394,40319,39453,40334,40678,40386,40539,41255,41002,40287,40222,40129,40385,39801,40440,40188,40204,39143,38778,39177
la Marina del Prat Vermell,Barri,1809,1763,1852,1805,1764,1672,1544,1456,1307,1248,1205,1190,1155,1135,1119,1150,1172,1143,1122,1146,1151,1161,1199,1227,1356,1517,1678,1977
la Marina de Port,Barri,27085,27415,27330,27385,27627,28103,28536,28813,29224,29585,29430,29714,30137,30108,30238,30445,30276,30051,30237,30397,30622,30751,31087,31352,31092,30428,30437,30960
la Font de la Guatlla,Barri,9039,9278,9380,9352,9404,9731,9873,9929,10114,10157,10131,10075,10219,10281,10215,10275,10312,10310,10371,10316,10422,10307,10373,10377,10239,10359,10499,10699
Hostafrancs,Barri,14654,14805,14662,14537,14465,14749,15212,15448,15474,15843,15612,15940,16013,15961,15858,16042,15982,15671,15758,15915,15949,15969,16155,16203,16102,15859,15969,16192
la Bordeta,Barri,17290,17570,17594,17677,17997,18429,18548,18757,18666,18709,18649,18721,18839,18645,18492,18604,18581,18397,18384,18518,18561,18833,19443,19567,19451,19227,19728,20392
Sants - Badal,Barri,23654,23800,23738,23444,23474,24103,24351,24313,24264,24545,24121,24270,24269,24350,24340,24590,24355,24125,24016,23935,24047,24018,24474,24938,24903,24208,24366,24931
Sants,Barri,38306,38451,38188,37910,38159,39069,39628,39530,39805,40264,39799,41029,42207,42111,41932,41609,41061,40849,40703,40831,41244,41370,42310,43763,43679,43029,44508,47063
Les Corts,Districte,81242,82363,82286,82443,82269,83024,83445,82995,82748,82672,81379,82245,83183,82750,82337,82357,81711,81196,81529,81708,82201,82182,82591,82635,81576,81074,82154,83551
les Corts,Barri,45882,46595,46611,46568,46468,46739,46804,46483,46414,46698,45965,46928,47618,47319,47098,46819,46221,45989,46003,45976,46104,46152,46599,46731,45943,45660,45965,46740
la Maternitat i Sant Ramon,Barri,24455,24582,24511,24586,24523,24681,24938,24796,24568,24278,23912,23785,23934,23762,23607,23786,23674,23554,23810,23868,23980,23984,23992,23968,23825,23684,24059,24313
Pedralbes,Barri,10905,11186,11164,11289,11278,11604,11703,11716,11766,11696,11502,11532,11631,11669,11632,11752,11816,11653,11716,11864,12117,12046,12000,11936,11808,11730,12130,12498
Sarrià-Sant Gervasi,Districte,128522,130770,131564,132241,133075,137758,139405,139749,140977,141574,140882,142461,144431,144485,144355,145269,145515,145773,146848,148172,149734,149837,150446,151157,149201,148201,149804,151890
Vallvidrera, el Tibidabo i les Planes,Barri,3033,3171,3117,3199,3244,3426,3563,3671,3739,3878,3940,4082,4287,4265,4288,4407,4443,4516,4604,4641,4689,4710,4727,4710,4760,4805,4831,4901
Sarrià,Barri,20559,21114,21416,21556,21630,22406,22851,23062,23379,23330,23117,23371,23615,23763,23920,24280,24510,24531,24640,24810,25106,25116,25137,25242,24769,24632,24858,25113
les Tres Torres,Barri,13206,13505,13712,13785,14109,14892,15177,15201,15343,15301,15272,15351,15546,15731,15748,15922,16036,16165,16501,16486,16699,16713,16695,16644,16356,16108,16276,16393
Sant Gervasi - la Bonanova,Barri,21737,22142,22274,22496,22629,23261,23475,23540,23730,23694,23607,24399,25282,25704,25639,25426,25130,25273,25368,25761,25909,25889,26108,26245,25984,25692,26135,26750
Sant Gervasi - Galvany,Barri,43593,43918,44085,44205,44420,45790,46013,45819,46144,46492,46284,46501,46830,46291,46128,46365,46548,46461,46711,47156,47816,47819,47993,47976,47346,47181,47674,48398
el Putxet i el Farró,Barri,26394,26920,26960,27000,27043,27983,28326,28456,28642,28879,28662,28757,28871,28731,28632,28869,28848,28827,29024,29318,29515,29590,29786,30340,29986,29783,30030,30335
Gràcia,Districte,114411,115254,115005,114090,114151,117910,119190,119839,120356,121398,120021,121946,123804,122978,121483,121831,120997,120283,120445,121088,121772,121789,123060,123852,123276,121915,122928,125787
Vallcarca i els Penitents,Barri,14288,14366,14241,14155,14385,15068,15173,15381,15493,15669,15422,15469,15697,15481,15446,15518,15495,15442,15520,15629,15821,15985,16109,16348,16325,16082,16330,16678
el Coll,Barri,6658,6673,6691,6670,6681,6854,7019,7142,7138,7203,7102,7304,7294,7227,7288,7291,7227,7201,7351,7391,7428,7460,7518,7617,7688,7611,7740,7943
la Salut,Barri,12858,12956,13092,13023,12978,13134,13185,13182,13199,13159,13001,13182,13246,13326,13147,13186,13199,13159,13220,13123,13207,13260,13431,13478,13455,13337,13491,13679
la Vila de Gràcia,Barri,46951,47234,46991,46531,46410,48352,48990,49256,49783,50227,49958,51295,52633,52314,51190,51104,50636,50440,50441,50670,50885,50421,50803,50926,50456,49852,50048,51075
el Camp d en Grassot i Gràcia Nova,Barri,33656,34025,33990,33711,33697,34502,34823,34878,34743,35140,34538,34696,34934,34630,34412,34732,34440,34041,33913,34275,34431,34663,35199,35483,35352,35033,35319,36412
Horta-Guinardó,Districte,168276,168814,167628,166086,166075,169373,170146,169601,169502,169360,167741,169680,171359,170757,169764,168984,167800,166924,166530,167390,168981,170053,172266,174598,173944,172109,175550,180138
el Baix Guinardó,Barri,25027,25105,24978,24761,24847,25455,25512,25480,25482,25857,25741,25997,26110,26019,26002,25906,25647,25536,25474,25563,25734,25793,25990,26180,25842,25591,25719,26280
Can Baró,Barri,8868,9069,8953,8858,8848,9046,9072,8963,8980,8945,8931,9076,9161,9124,8925,9002,8973,8860,8824,8969,9020,9071,9247,9331,9320,9271,9421,9525
el Guinardó,Barri,34553,34585,34442,34049,34282,35029,35306,35206,35344,35370,35044,35169,35620,35669,35692,35656,35712,35539,35784,36176,36538,36890,37216,37584,37325,36994,37575,38153
la Font d en Fargues,Barri,9810,9860,9844,9785,9748,9777,9763,9715,9710,9570,9599,9664,9667,9581,9521,9560,9499,9437,9399,9402,9390,9446,9506,9544,9505,9527,9709,9837
